id,Exited
165034,0.024007613
165035,0.7802103
165036,0.036747377
165037,0.24225484
165038,0.3946759
165039,0.086245395
165040,0.03377838
165041,0.10383357
165042,0.47199005
165043,0.006753502
165044,0.13674523
165045,0.02159056
165046,0.013205257
165047,0.26634935
165048,0.61577195
165049,0.07308028
165050,0.0927337
165051,0.4008128
165052,0.030266326
165053,0.094001085
165054,0.024064906
165055,0.10654028
165056,0.22097205
165057,0.0063585374
165058,0.50667953
165059,0.16002862
165060,0.8731719
165061,0.53854805
165062,0.11109726
165063,0.4850831
165064,0.027927708
165065,0.0415345
165066,0.15280904
165067,0.1280574
165068,0.054400567
165069,0.0089036
165070,0.6768215
165071,0.04548307
165072,0.095882535
165073,0.82386136
165074,0.59748954
165075,0.18478861
165076,0.21377389
165077,0.0074497797
165078,0.4181659
165079,0.2248961
165080,0.014422718
165081,0.047500324
165082,0.0049578464
165083,0.49162537
165084,0.054317746
165085,0.005584004
165086,0.019098276
165087,0.59474534
165088,0.017245332
165089,0.12940748
165090,0.096115924
165091,0.013531137
165092,0.029660366
165093,0.1777093
165094,0.0133139
165095,0.11023951
165096,0.4061685
165097,0.13323644
165098,0.021287557
165099,0.012401054
165100,0.8047385
165101,0.05871275
165102,0.089468114
165103,0.017232325
165104,0.24257064
165105,0.55340266
165106,0.42773178
165107,0.046854455
165108,0.023539372
165109,0.46439242
165110,0.09307898
165111,0.054243505
165112,0.05731702
165113,0.02430822
165114,0.01512869
165115,0.034064304
165116,0.37772173
165117,0.029380308
165118,0.38004252
165119,0.11203272
165120,0.10113686
165121,0.2961237
165122,0.20311543
165123,0.09025783
165124,0.20519707
165125,0.04805377
165126,0.05477437
165127,0.010166087
165128,0.011217766
165129,0.012392179
165130,0.9779585
165131,0.021776978
165132,0.3820843
165133,0.10196468
165134,0.010156548
165135,0.060724374
165136,0.0053026974
165137,0.6029644
165138,0.60871786
165139,0.6256587
165140,0.14240892
165141,0.03324352
165142,0.0053303773
165143,0.1267495
165144,0.27220213
165145,0.52439076
165146,0.18140839
165147,0.03967657
165148,0.11594794
165149,0.025076449
165150,0.017611738
165151,0.5388086
165152,0.56236756
165153,0.060984958
165154,0.029989274
165155,0.025779033
165156,0.008675162
165157,0.026457189
165158,0.29597196
165159,0.13288003
165160,0.049993698
165161,0.015585212
165162,0.708115
165163,0.022131244
165164,0.02018339
165165,0.11460102
165166,0.8946844
165167,0.07988195
165168,0.035396527
165169,0.12550114
165170,0.080588885
165171,0.06322806
165172,0.592683
165173,0.09554527
165174,0.018738406
165175,0.15271854
165176,0.017661052
165177,0.024710545
165178,0.5055467
